,id1,id2,name1,name2,similarity
0,2248,2284,Gutenberg/txt/Robert Louis Stevenson___New Arabian Nights.txt,"Gutenberg/txt/Robert Louis Stevenson___The Works of Robert Louis Stevenson - Swanston Edition, Volume 4.txt",0.988888888889
1,2948,2959,Gutenberg/txt/William Wymark Jacobs___More Cargoes.txt,Gutenberg/txt/William Wymark Jacobs___Sea Urchins.txt,0.966666666667
2,2259,2268,Gutenberg/txt/Robert Louis Stevenson___The Master of Ballantrae.txt,"Gutenberg/txt/Robert Louis Stevenson___The Works of Robert Louis Stevenson - Swanston Edition, Volume 12.txt",0.966666666667
3,2231,2267,Gutenberg/txt/Robert Louis Stevenson___Catriona.txt,"Gutenberg/txt/Robert Louis Stevenson___The Works of Robert Louis Stevenson - Swanston Edition, Volume 11.txt",0.966666666667
4,2231,2232,Gutenberg/txt/Robert Louis Stevenson___Catriona.txt,"Gutenberg/txt/Robert Louis Stevenson___David Balfour, Second Part.txt",0.966666666667
5,2612,2628,Gutenberg/txt/Thornton Waldo Burgess___Lightfoot the Deer.txt,Gutenberg/txt/Thornton Waldo Burgess___The Adventures of Lightfoot the Deer.txt,0.955555555556
6,2232,2267,"Gutenberg/txt/Robert Louis Stevenson___David Balfour, Second Part.txt","Gutenberg/txt/Robert Louis Stevenson___The Works of Robert Louis Stevenson - Swanston Edition, Volume 11.txt",0.955555555556
7,1421,1424,Gutenberg/txt/James Matthew Barrie___Peter and Wendy.txt,Gutenberg/txt/James Matthew Barrie___Peter Pan.txt,0.955555555556
8,319,321,Gutenberg/txt/Charles Darwin___On the Origin of Species 1st Edition.txt,Gutenberg/txt/Charles Darwin___On the Origin of Species by Means of Natural Selection or the Preservation of Favoured Races in the Struggle for Life. (2nd edition).txt,0.955555555556
9,2362,2412,Gutenberg/txt/Sir Arthur Conan Doyle___A Desert Drama.txt,Gutenberg/txt/Sir Arthur Conan Doyle___The Tragedy of The Korosko.txt,0.944444444444
10,2237,2283,Gutenberg/txt/Robert Louis Stevenson___Familiar Studies of Men & Books.txt,"Gutenberg/txt/Robert Louis Stevenson___The Works of Robert Louis Stevenson - Swanston Edition, Volume 3.txt",0.944444444444
11,1683,1699,Gutenberg/txt/Joseph Conrad___A Personal Record.txt,Gutenberg/txt/Joseph Conrad___Some Reminiscences.txt,0.944444444444
12,862,887,Gutenberg/txt/George Alfred Henty___The Boy Knight.txt,Gutenberg/txt/George Alfred Henty___Winning His Spurs.txt,0.933333333333
13,1692,1693,"Gutenberg/txt/Joseph Conrad___Heart of Darkness, Version 1.txt","Gutenberg/txt/Joseph Conrad___Heart of Darkness, Version 2.txt",0.911111111111
14,2220,2223,"Gutenberg/txt/Robert Louis Stevenson___A Child's Garden of Verses, Verse 158.txt","Gutenberg/txt/Robert Louis Stevenson___A Child's Garden of Verses, Version 3.txt",0.9
15,853,856,Gutenberg/txt/George Alfred Henty___On the Pampas.txt,Gutenberg/txt/George Alfred Henty___Out on the Pampas.txt,0.888888888889
16,86,87,"Gutenberg/txt/Andrew Lang___Prince Prigio From ""His Own Fairy Book"".txt",Gutenberg/txt/Andrew Lang___Prince Prigio.txt,0.888888888889
17,2223,2224,"Gutenberg/txt/Robert Louis Stevenson___A Child's Garden of Verses, Version 3.txt","Gutenberg/txt/Robert Louis Stevenson___A Child's Garden of Verses, Version 4.txt",0.877777777778
18,2220,2224,"Gutenberg/txt/Robert Louis Stevenson___A Child's Garden of Verses, Verse 158.txt","Gutenberg/txt/Robert Louis Stevenson___A Child's Garden of Verses, Version 4.txt",0.877777777778
